Via,UUID,KiCad X mm,KiCad Y mm,Gerber/CPL X mm,Gerber/CPL Y mm,Drill mm,Diameter mm,Net,SMD pad drill overlap
V0001,e65e1e9f-a85e-430c-9ba4-8710121713e9,11.5,51.65,11.5,-51.65,0.2,0.45,GND,R14.2@F.Cu
V0002,091ba5b8-2a75-436b-bee8-9d9bf529a361,11.9,54.2,11.9,-54.2,0.3,0.6,BTN_M_IN1,
V0003,eb1c7791-9e42-42b8-b8fb-2c446e017837,12.0,87.05,12.0,-87.05,0.3,0.6,SOURCE_OK,
V0004,290b2e3a-c912-409c-893b-e0d6f91ce2db,12.0,90.95,12.0,-90.95,0.3,0.6,GND,
V0005,07ef9a33-161e-4f56-9c66-6286e11c84b8,12.0,95.7,12.0,-95.7,0.3,0.6,ACT_DRIVE_EN,
V0006,0c275198-8a1e-45c2-a297-2e4e06e42261,12.0,97.65,12.0,-97.65,0.3,0.6,ACT_DRIVE_EN,
V0007,5c2533c2-cf30-4218-8c29-386f3eb6075a,12.175,22.8,12.175,-22.8,0.3,0.6,VBUS_USB,
V0008,313e5111-7397-4ebd-9110-10c1e1ac3cae,12.9,84.55,12.9,-84.55,0.2,0.45,BTN_L_IN1,
V0009,eb0750a9-4595-4266-ba41-3cbe16a418b8,12.95,65.3,12.95,-65.3,0.2,0.45,BTN_L_IN1,
V0010,7836bd75-3241-4bd7-aaac-d1aa590cf42c,13.0,40.55,13.0,-40.55,0.3,0.6,HALL_EN,
V0011,1f25672a-9cca-4784-9c45-fa09687501ee,13.1,99.6,13.1,-99.6,0.3,0.6,GND,
V0012,185a9470-f3d9-47a5-ad84-ec753cba56ad,13.4,87.75,13.4,-87.75,0.2,0.45,ACT_REQ,U16.2@F.Cu
V0013,dae06b92-e1fd-4c72-b2a0-6992be061bca,13.5,52.7,13.5,-52.7,0.3,0.6,GND,
V0014,141298e6-c217-4ae5-a389-c8d3738bacd0,13.8,42.5,13.8,-42.5,0.3,0.6,+3V3,
V0015,7068d521-a8b1-4de3-8cb6-0da213fa183b,13.9,86.45,13.9,-86.45,0.2,0.45,HALL_EN,
V0016,84b21502-ad9a-40f1-b5db-68bdcc263b4f,13.9,99.7,13.9,-99.7,0.3,0.6,BTN_L_IN2,
V0017,4a5ad49a-2e60-40c7-9aa4-bb8ffb3c0dd4,14.0,20.7,14.0,-20.7,0.3,0.6,GND,
V0018,1296ceed-4302-4020-8f8d-466e3ef0e60a,14.0,43.3,14.0,-43.3,0.3,0.6,GND,
V0019,d6b95bb6-06c9-402b-bbb0-e0831882cd36,14.0,46.8,14.0,-46.8,0.3,0.6,GND,
V0020,d09151a3-19a5-49d9-97fa-419347a04e57,14.2,102.0,14.2,-102.0,0.3,0.6,GND,
V0021,1b92197a-50fd-4555-8a2a-32bb124deb4c,14.4,85.4,14.4,-85.4,0.3,0.6,GND,
V0022,7b1705b8-9b6a-4222-b5bb-f8c4afd6c495,14.4,95.5,14.4,-95.5,0.3,0.6,BTN_L_CMD1,
V0023,2087c184-a27e-4838-835f-604cee4c8c86,14.6,63.3,14.6,-63.3,0.3,0.6,BTN_M_IN2,
V0024,ecd3af30-b84b-47f4-ad85-3ba970c99411,14.7,48.5,14.7,-48.5,0.3,0.6,BTN_L_IN2,
V0025,3e23732d-1c40-4256-8e60-85902595259a,14.8,43.199999,14.8,-43.199999,0.3,0.6,HALL_EN,
V0026,4694a435-4089-4e14-82ca-f8c6afafe774,14.9,65.5,14.9,-65.5,0.3,0.6,GND,
V0027,e86b1353-824e-4329-8159-6f05ca30c443,15.0,20.7,15.0,-20.7,0.3,0.6,GND,
V0028,6a02ccb9-b5e5-4881-a938-1c163ed05dd4,15.0,37.8,15.0,-37.8,0.3,0.6,BTN_L_COIL_P,
V0029,f11c00d0-cf6d-4042-a107-309a6d090b69,15.0,49.3,15.0,-49.3,0.3,0.6,+3V3,
V0030,b2d59774-f9e1-40c6-9393-273f5bb7b36d,15.1,88.9,15.1,-88.9,0.3,0.6,+3V3,
V0031,7d58a2ed-fe27-4d61-8ce8-f0c1b79ed901,15.3,44.1,15.3,-44.1,0.2,0.45,BTN_L_ISENSE,
V0032,d9ec2b1c-38dc-49a6-888d-fa4b55883531,15.3,44.8,15.3,-44.8,0.3,0.6,BTN_L_IN2,
V0033,5a3e7664-6446-4e36-a697-379e6d2b9eef,15.3,55.1,15.3,-55.1,0.3,0.6,BTN_M_IN1,
V0034,ecb2d8ea-386e-45e1-b63c-92be9d39fa75,15.65,90.5,15.65,-90.5,0.2,0.45,ACT_REQ,
V0035,81a6b52f-a8f2-4aa1-b423-df3c9fb9c3ab,15.8,91.1,15.8,-91.1,0.2,0.45,HALL_EN,
V0036,6ed6e3b6-a7dc-4141-b8fb-f4fff415c485,15.95,52.7,15.95,-52.7,0.2,0.45,BTN_M_ISENSE,
V0037,78f552e5-018d-42b5-ba35-45caaebcd202,16.0,20.7,16.0,-20.7,0.3,0.6,GND,
V0038,cd5cccb0-9d07-4fdb-990c-44665d101276,16.0,84.7,16.0,-84.7,0.2,0.45,HALL_EN,
V0039,b5e6d290-5970-406e-9cf3-9fe205faf8cb,16.6,43.449999,16.6,-43.449999,0.3,0.6,GND,
V0040,00a6a935-a442-436e-87d3-f2b922acf0e2,16.6,46.55,16.6,-46.55,0.3,0.6,GND,
V0041,e9c52885-ecda-416b-922c-b6bb4b8c747b,16.6,52.45,16.6,-52.45,0.3,0.6,GND,
V0042,4ffa197c-35e3-4883-8274-f14bcc7fc23e,16.6,55.55,16.6,-55.55,0.3,0.6,GND,
V0043,3443dfdf-c93d-4ee1-b0c1-ad4fb67d924d,17.0,58.2,17.0,-58.2,0.3,0.6,BTN_M_COIL_P,
V0044,fc0eea28-9be5-4c57-8412-86973a578a45,17.2,99.0,17.2,-99.0,0.3,0.6,ARM_VALID,
V0045,aa584606-c71b-4e11-b255-257661b41ab9,17.4,43.449999,17.4,-43.449999,0.3,0.6,GND,
V0046,25b68eb4-9446-4fbc-a7c1-f9e2ae22f9be,17.4,46.55,17.4,-46.55,0.3,0.6,GND,
V0047,37e6284c-55cd-49ab-9ba5-2ac906a4fcfb,17.4,52.45,17.4,-52.45,0.3,0.6,GND,
V0048,7c05a5ef-23aa-4e1c-bb5e-8187562cf20b,17.4,55.55,17.4,-55.55,0.3,0.6,GND,
V0049,219ccb8b-fe5c-495c-9789-b003b18cdf47,17.5,103.0,17.5,-103.0,0.3,0.6,BTN_L_CMD2,
V0050,edf54761-0099-4f3b-b5d8-4f2c15cbc4d4,17.6,95.0,17.6,-95.0,0.3,0.6,BTN_M_IN2,
V0051,9783e0f3-69fb-442a-afbc-a7a2cc7fed5e,17.65,88.8,17.65,-88.8,0.3,0.6,CC_OUT2_INV,
V0052,afd6f5f9-832d-414f-9baf-b3a9a071cc43,17.7,93.4,17.7,-93.4,0.3,0.6,GND,
V0053,33b7efa9-af8b-4362-b28f-9c17853d2d4f,17.7,102.0,17.7,-102.0,0.3,0.6,GND,
V0054,bf1ff02a-53ca-4680-9422-e92fdac29793,17.75,40.35,17.75,-40.35,0.2,0.45,HALL_L,
V0055,2aa64fe6-fee7-4f49-a7b9-f61fbbd448cc,17.9,86.3,17.9,-86.3,0.3,0.6,+3V3,
V0056,7d8bfd04-5aa1-433e-9ae9-0711880d3e7a,17.95,85.65,17.95,-85.65,0.3,0.6,+3V3,
V0057,85ab0e40-c103-4f15-a87d-d2b61b9ea98d,17.9571,41.1227,17.9571,-41.1227,0.2,0.45,GND,
V0058,28da6bcb-7dd7-405c-b75b-2911f2fb3b3f,18.0,24.0,18.0,-24.0,0.3,0.6,GND,
V0059,ee319cfa-f2ff-42ce-8a89-ba7fc88803e4,18.0,90.3,18.0,-90.3,0.3,0.6,SOURCE_OK,U16.9@F.Cu
V0060,7f521cb8-1185-4fb2-b76d-eec3a27d8764,18.6,99.6,18.6,-99.6,0.3,0.6,BTN_M_IN1,
V0061,c94c5204-4956-45a8-b53f-8241824b9bc5,18.7,73.0,18.7,-73.0,0.3,0.6,GND,
V0062,ffa226af-ebea-4d8f-863a-322fbce0d1d1,18.8,47.4,18.8,-47.4,0.3,0.6,GND,
V0063,6b918c12-7700-497b-aa9f-6150861e4bd5,18.8,49.1,18.8,-49.1,0.3,0.6,ACT_5V,
V0064,6403085e-a9c4-4dea-ae6e-f5a284ea07ae,18.9,45.05,18.9,-45.05,0.3,0.6,BTN_L_COIL_P,
V0065,b39beb49-bdab-498c-984c-bfa3d9a756e1,18.9,54.05,18.9,-54.05,0.3,0.6,BTN_M_COIL_P,
V0066,1c00005c-5882-49da-a8a9-79d119fbef01,18.9,65.5,18.9,-65.5,0.3,0.6,GND,
V0067,e2e94e38-3fe1-4b87-89cb-5876a354d3f6,18.95,55.4,18.95,-55.4,0.3,0.6,+3V3,
V0068,7e00dc71-43c5-4a6d-a343-90e5605bee11,19.0,58.2,19.0,-58.2,0.3,0.6,BTN_M_COIL_N,
V0069,db8eb09b-a4c5-4308-8205-c36b509828c2,19.05,53.25,19.05,-53.25,0.3,0.6,BTN_M_COIL_N,
V0070,1571bb05-4157-4016-8a89-d33b99bfd370,19.1,41.6,19.1,-41.6,0.3,0.6,+3V3,
V0071,b9caf6ef-5eab-4aea-9fe6-cc5e1da4ac76,19.1,46.4,19.1,-46.4,0.3,0.6,ACT_5V,
V0072,fe66bc3e-ecce-45d8-ba1c-fc1f5aaeb847,19.2,67.9,19.2,-67.9,0.3,0.6,GND,
V0073,fe1f15a4-bede-40d5-8482-ff68c73d4ad9,19.2,83.05,19.2,-83.05,0.2,0.45,OPT_CTRL,
V0074,0c3eed13-6396-4ce2-ac2f-9c0968a642a9,19.55,77.95,19.55,-77.95,0.2,0.45,OPT_LED_P,
V0075,1c5eaaa6-0d15-4e1c-b9f2-d6afac796266,19.75,90.95,19.75,-90.95,0.3,0.6,SOURCE_3A,
V0076,1b0028f3-0fcc-4ff7-bb56-d29ecb3856d6,20.0,23.525,20.0,-23.525,0.3,0.6,GND,
V0077,a9d67d48-0ceb-4f0a-8183-af9e55294be7,20.0,51.8,20.0,-51.8,0.3,0.6,GND,
V0078,f08297ff-8211-4a90-a9e0-b3e1e42dc413,20.0,88.8,20.0,-88.8,0.3,0.6,ACT_DRIVE_EN,
V0079,7d83594a-e209-49da-b375-7e355a6b92a5,20.0,95.7,20.0,-95.7,0.3,0.6,ACT_DRIVE_EN,
V0080,2742c801-7bda-440f-bea0-26fa08615695,20.0,97.65,20.0,-97.65,0.3,0.6,ACT_DRIVE_EN,
V0081,f998611f-580d-4ec7-9061-5f8921eacebd,20.2,83.4,20.2,-83.4,0.3,0.6,+3V3,
V0082,7e60f1e8-4bbf-4e8d-9e6b-b62d4055563c,20.4,85.6,20.4,-85.6,0.2,0.45,UART_RX,
V0083,74aad21f-b6c6-4360-b272-d0fa0ded3c91,20.5,95.1,20.5,-95.1,0.3,0.6,BTN_M_CMD2,
V0084,89f60acf-2671-4e09-b3ff-606f4519aefb,20.75,55.7,20.75,-55.7,0.3,0.6,+3V3,
V0085,45639a00-8f97-491e-b24e-828907326838,20.8,42.05,20.8,-42.05,0.3,0.6,+3V3,
V0086,1cb5be99-f8ee-48d4-9609-58dbcc177387,20.9,43.6,20.9,-43.6,0.3,0.6,GND,
V0087,1a2db118-24d4-44ff-883e-0c33fdd584ff,21.05,48.6,21.05,-48.6,0.3,0.6,+3V3,
V0088,325dfd09-25a7-4730-ac42-51554cbaf012,21.1,91.9,21.1,-91.9,0.3,0.6,ACT_DRIVE_EN,
V0089,fade520d-4d8d-431d-9fee-3728e2c81e64,21.2,25.675,21.2,-25.675,0.3,0.6,GND,
V0090,ceb68ef9-1a7c-4bf6-a218-3dfc8f6cb7e2,21.2,102.2,21.2,-102.2,0.3,0.6,GND,
V0091,a427feed-f024-41d1-8848-05093ec794d8,21.3,49.95,21.3,-49.95,0.2,0.45,BTN_L_ISENSE,
V0092,9b5017ec-8c82-4676-a075-7c51f1af66a1,21.3,83.7,21.3,-83.7,0.2,0.45,OPT_CTRL,
V0093,fabe33ca-863c-4299-ab6a-d79f86bf537b,21.35,70.6,21.35,-70.6,0.2,0.45,OPT_CTRL,
V0094,83e65e3a-b870-4c84-a904-35c78bf08bac,21.35,79.3,21.35,-79.3,0.3,0.6,SOURCE_3A,
V0095,a78a0ab5-b0e8-4863-8147-9e358166e2cf,21.35,87.25,21.35,-87.25,0.2,0.45,BOOT,
V0096,aa718258-1e73-4f21-ab17-0af659b331dc,21.4,43.1,21.4,-43.1,0.2,0.45,+3V3,
V0097,15e42cbd-ba81-440e-84cc-370ac27c043d,21.4,78.45,21.4,-78.45,0.2,0.45,SPI_MOSI,
V0098,91159274-b18a-4eb6-9d23-20f1b6dc772a,21.6,32.15,21.6,-32.15,0.2,0.45,ENC_3V3,
V0099,2d7435e5-efa7-4346-8882-27eb6e668042,21.85,31.5,21.85,-31.5,0.3,0.6,SOURCE_OK,
V0100,a6e7c6c2-c182-4ab0-a583-56aa572e66f5,21.85,77.05,21.85,-77.05,0.2,0.45,SOURCE_OK,
V0101,7afb3982-2711-4335-afa3-9a74d907997b,21.95,44.85,21.95,-44.85,0.2,0.45,+3V3,
V0102,4ee4e79c-47fa-4046-970e-f71af4457091,22.15,22.25,22.15,-22.25,0.3,0.6,VBUS_USB,
V0103,f5ad1893-856e-42d6-ae72-f0153a422733,22.25,33.15,22.25,-33.15,0.3,0.6,SOURCE_OK,
V0104,94b451af-8eb1-4528-9ba0-4bbd185c064b,22.4,81.2,22.4,-81.2,0.3,0.6,+3V3,
V0105,116d5ed0-f8ef-4cba-9a65-fe687c3eeed0,22.45,45.35,22.45,-45.35,0.2,0.45,+3V3,
V0106,76cdfb85-7a7e-4c90-b2ce-c4bde7658917,22.5,49.05,22.5,-49.05,0.2,0.45,CC_OUT2,
V0107,0fa4027f-6380-4bfc-9d4e-1a1b6ad7a950,22.5,69.45,22.5,-69.45,0.2,0.45,+3V3,
V0108,87d25d53-99f6-4868-94fe-72285c8f172f,22.5,76.4,22.5,-76.4,0.2,0.45,+3V3,
V0109,e0ff6eaf-b102-442c-beff-93fc9060e74c,22.65,29.25,22.65,-29.25,0.3,0.6,MCU_EN,
V0110,86324aeb-0a1b-4c17-83ff-32bb6209a0fb,22.7,27.45,22.7,-27.45,0.3,0.6,PWR_5V,
V0111,eb296791-4950-42c6-be1c-12fa45cb8aa3,22.7,57.9,22.7,-57.9,0.2,0.45,GND,
V0112,ca5695df-61b4-4db2-b260-f74260eff1d8,22.75,49.65,22.75,-49.65,0.2,0.45,BTN_M_ISENSE,
V0113,1e505eb7-96ef-4176-8a02-0440aae86653,22.8,64.0,22.8,-64.0,0.3,0.6,+3V3,
V0114,fe4d98bf-8d4a-45f8-ba9b-cbdfa67e1522,22.8,89.9,22.8,-89.9,0.2,0.45,CS_PAW,
V0115,388fcff7-d4b6-43e8-b4bc-29126d7eabcd,22.85,84.7,22.85,-84.7,0.2,0.45,BOOT,
V0116,fa170ace-01bf-4939-ab35-fc8dd4aa58da,22.9,47.199999,22.9,-47.199999,0.3,0.6,GND,
V0117,b157036a-66b7-47d5-a13e-e99b5a950ffc,22.9,65.5,22.9,-65.5,0.3,0.6,GND,
V0118,a44cb017-318f-4c91-8e7d-1e455600071f,22.95,51.65,22.95,-51.65,0.2,0.45,SOURCE_OK,
V0119,40b9feb3-8fd8-4e2b-b8df-9b8800a77a82,22.95,61.85,22.95,-61.85,0.2,0.45,+3V3,
V0120,234530dc-1327-4447-a5ac-14a61744dfc0,23.0,22.25,23.0,-22.25,0.3,0.6,VBUS_USB,
V0121,b178b289-bf97-459e-831d-0a550f161eb5,23.0,56.1,23.0,-56.1,0.2,0.45,BTN_M_VREF,
V0122,5fe4c13a-4829-4ad2-8a7b-721ee126f1f3,23.0,92.95,23.0,-92.95,0.2,0.45,BOOT,
V0123,36125899-b4ab-4972-81cc-abd66b7128f9,23.1,59.9,23.1,-59.9,0.3,0.6,+3V3,
V0124,84903d1e-f965-46d5-a90f-ceb84700fb7d,23.2,40.35,23.2,-40.35,0.2,0.45,HALL_L,
V0125,33dfb1aa-61e8-4fb7-b86a-0fd0e217c11b,23.2,60.8,23.2,-60.8,0.2,0.45,GND,
V0126,e3d96d39-d4f6-43cf-8a73-9f34fd4206bb,23.25,33.1,23.25,-33.1,0.3,0.6,GND,
V0127,81b1c0e3-1f63-4a7c-9470-d1580693ae77,23.25,41.35,23.25,-41.35,0.3,0.6,HALL_EN,
V0128,95a507e6-d693-4e68-8b43-72d5d1f45ce2,23.3,91.1,23.3,-91.1,0.2,0.45,ACT_HEARTBEAT,
V0129,23449def-eb2c-43fc-8a47-e908f064a6ac,23.4,30.75,23.4,-30.75,0.3,0.6,GND,
V0130,5bdb6dc9-e403-4ef8-98ea-d05e7f40b3f6,23.4,46.15,23.4,-46.15,0.2,0.45,CC_OUT2,U14.3@F.Cu
V0131,a2316f2a-29a4-4671-b872-5f43ea1136aa,23.5,27.45,23.5,-27.45,0.3,0.6,PWR_5V,
V0132,0255cc06-ea1a-4baf-babd-39d6fac34d8e,23.5,52.1,23.5,-52.1,0.3,0.6,GND,
V0133,8690caba-0e7e-4413-9b0d-61e6c575a76a,23.6,89.9,23.6,-89.9,0.2,0.45,GND,
V0134,a7dc3b8a-2a46-42ca-adac-f29f08c92cf3,23.65,78.45,23.65,-78.45,0.2,0.45,GND,
V0135,f394ff7a-7e13-4873-a14c-74abc6bc76ca,23.6529,42.0404,23.6529,-42.0404,0.2,0.45,GND,
V0136,a529c096-a44e-426b-bc63-5d401c9307b8,23.75,76.0,23.75,-76.0,0.2,0.45,+3V3,
V0137,dda1bd40-66b1-49e4-8611-3b047d912873,23.85,22.25,23.85,-22.25,0.3,0.6,VBUS_USB,
V0138,e4252091-c6e1-4013-ae2a-c19d0d38aabb,24.1,49.95,24.1,-49.95,0.2,0.45,GND,R12.2@F.Cu
V0139,0af98717-310f-4410-b19e-642d7bc12df3,24.15,83.8,24.15,-83.8,0.2,0.45,OPT_CTRL,
V0140,b294acac-dddd-48b2-b21c-ef72f29d3fee,24.2,44.35,24.2,-44.35,0.3,0.6,CC_OUT1,
V0141,b3972c8d-4ffe-433b-b742-bcd272434e9c,24.3,27.45,24.3,-27.45,0.3,0.6,PWR_5V,
V0142,b80247ad-68df-4b20-94c7-52bce91ec16d,24.35,74.85,24.35,-74.85,0.3,0.6,SOURCE_3A,
V0143,91ded925-0c56-46a1-9429-64723e6fee4e,24.5,92.1,24.5,-92.1,0.2,0.45,ACT_REQ,
V0144,eec12eb5-8327-4bc1-9e09-e37bc80a2f8a,24.65,85.95,24.65,-85.95,0.2,0.45,ACT_HEARTBEAT,R47.1@F.Cu
V0145,55385e21-96d9-402b-b8c0-7844593c2a04,24.7,51.95,24.7,-51.95,0.2,0.45,HALL_EN,
V0146,f726420c-88e6-4ba4-8102-6b744f8027f5,24.7,53.75,24.7,-53.75,0.2,0.45,BTN_M_VREF,
V0147,19a17b19-1ad3-4656-86af-aad6531f8c75,24.7,61.25,24.7,-61.25,0.2,0.45,HALL_EN,
V0148,a9e69fa6-b40c-4442-826b-90bf055e0d7a,24.75,20.4,24.75,-20.4,0.2,0.45,ENC_MISO_LOCAL,J6.8@F.Cu
V0149,f2727984-e658-4273-a25f-063f8a929b28,24.75,45.55,24.75,-45.55,0.2,0.45,+3V3,U14.5@F.Cu
V0150,f21a9872-30c4-4f31-baa8-85a4f1121fb6,24.75,47.15,24.75,-47.15,0.2,0.45,SOURCE_OK,
V0151,78ea4de7-6012-4d67-b9dc-4e90834fa445,24.8,60.0,24.8,-60.0,0.2,0.45,GND,
V0152,7a3bd460-e031-40c2-8ab2-31e6bfaf23fd,24.85,75.45,24.85,-75.45,0.2,0.45,HALL_EN,
V0153,3db67823-84ae-43b2-843a-65c942b3473a,24.85,79.25,24.85,-79.25,0.2,0.45,DRV_FAULT_N,
V0154,f95dae43-a103-447e-b245-79342e3c9a9e,24.9,26.0,24.9,-26.0,0.3,0.6,GND,
V0155,1a3c3bda-e46f-4e4b-8314-1d6d5c486532,25.05,78.65,25.05,-78.65,0.2,0.45,OPT_LED_P,
V0156,262aee2b-af71-461b-aa75-eb0426663dbf,25.05,94.2,25.05,-94.2,0.2,0.45,CC_OUT2,
V0157,988ca078-14c0-4287-a02b-90b0138f8864,25.25,39.45,25.25,-39.45,0.3,0.6,HALL_EN,
V0158,7b886256-7335-4edb-b9c8-c5b2232d3fa7,25.3,26.9,25.3,-26.9,0.3,0.6,SOURCE_OK,
V0159,f3f550db-65b4-417d-a26d-134336d6bde6,25.3,42.95,25.3,-42.95,0.2,0.45,ENC_SCLK_LOCAL,U29.3@F.Cu
V0160,827ded7f-45ca-40f7-b384-704072bfe545,25.4,70.15,25.4,-70.15,0.2,0.45,OPT_1V9,
V0161,dfd03bf3-745d-4b03-9a4e-bb215f25a245,25.4,75.1,25.4,-75.1,0.2,0.45,OPT_1V9,
V0162,a06cd36a-747f-4878-8d4c-cd7900d30fbb,25.5,20.5,25.5,-20.5,0.2,0.45,GND,J6.7@F.Cu
V0163,9d56ccd4-af9e-483e-9b12-6c484d2a042b,25.6,89.1,25.6,-89.1,0.3,0.6,ACT_5V,
V0164,4869b51d-dfe7-4443-9a85-d5da66b12a42,25.65,24.2,25.65,-24.2,0.3,0.6,PWR_5V,
V0165,7af4d8e7-449f-48a7-83ae-a6e3191132a3,25.75,66.4,25.75,-66.4,0.2,0.45,OPT_1V9,
V0166,b4677938-a60e-4ec8-993e-4866e41f3397,25.75,68.55,25.75,-68.55,0.2,0.45,OPT_1V9,
V0167,9d46a3b9-3941-491b-b1b6-1a2cf3b98e02,25.75,76.45,25.75,-76.45,0.2,0.45,CS_DRV8316,
V0168,cac7877e-6baf-4284-8ff6-9a649ecb5b40,25.85,53.8,25.85,-53.8,0.2,0.45,+3V3,
V0169,e7d3759a-240e-48cd-9c9d-e75a9516ee57,25.95,35.05,25.95,-35.05,0.3,0.6,+3V3,
V0170,eef9486e-2bb0-4356-af96-07e8c731610a,25.95,44.449999,25.95,-44.449999,0.3,0.6,SOURCE_OK,
V0171,41022b9c-816b-4c9f-bd24-c0f902b5f69b,26.0,33.45,26.0,-33.45,0.3,0.6,GND,
V0172,a481296e-ecfa-4493-82ef-f1ef25956ed7,26.0,43.6125,26.0,-43.6125,0.2,0.45,GND,U29.4@F.Cu
V0173,6432269e-8afc-4a28-9ac8-c612a5428498,26.05,32.2,26.05,-32.2,0.3,0.6,GND,
V0174,7293ef43-76a6-4e9e-9d7a-f46e0ac89044,26.05,45.25,26.05,-45.25,0.3,0.6,+3V3,
V0175,403dc6da-ae24-4fb8-8915-1134d7832136,26.15,47.35,26.15,-47.35,0.3,0.6,CC_OUT2_INV,
V0176,238f4cc2-93f3-48b5-89bf-f82d6a5e36d1,26.15,86.0,26.15,-86.0,0.2,0.45,GND,R47.2@F.Cu
V0177,02669852-2f4d-403f-bbc9-8952326d5f06,26.2,41.35,26.2,-41.35,0.2,0.45,CC_OUT1,
V0178,4969d044-82dd-44fd-abf8-0bb958320fb7,26.25,40.35,26.25,-40.35,0.2,0.45,HALL_L,
V0179,bd372863-bebc-4e1e-a98b-c2240ab490f0,26.25,50.15,26.25,-50.15,0.2,0.45,BTN_M_ISENSE,
V0180,3c2e54a1-41e7-48f6-81c1-c0cf70626538,26.25,82.0,26.25,-82.0,0.2,0.45,CS_DRV8316,
V0181,ea2a27be-47f9-4aa3-a972-e02ffd7f219a,26.3,59.2,26.3,-59.2,0.2,0.45,HALL_M,
V0182,c3a6995a-4d9b-414a-a014-61f1235bc7e9,26.4,49.15,26.4,-49.15,0.2,0.45,GND,
V0183,d10caa44-6f96-4d0c-a2db-be9d997318ee,26.45,36.2,26.45,-36.2,0.3,0.6,GND,
V0184,f0807a2c-a1c0-430c-8e81-12175c7d9de2,26.45,99.5,26.45,-99.5,0.2,0.45,BTN_M_CMD1,
V0185,e267ca89-68c9-4f60-b219-ad2ecb01533b,26.5,95.1,26.5,-95.1,0.3,0.6,ARM_VALID,
V0186,9d17e978-1f09-4144-986e-7b38297d9043,26.55,30.35,26.55,-30.35,0.3,0.6,USB_ILM,
V0187,dd09ad49-081e-41bb-b2c0-385fb97e377c,26.6,84.975,26.6,-84.975,0.2,0.45,+3V3,
V0188,990f6a3d-adca-489a-9a5e-dd14a7e959cb,26.65,44.7,26.65,-44.7,0.2,0.45,CS_MA735,
V0189,6c6f038d-a683-4665-9b7c-a36ebae8669f,26.7,58.4,26.7,-58.4,0.3,0.6,ACT_5V,
V0190,ef7f9b64-cd27-4da4-841d-e0fbf4a03e42,26.7,92.8321,26.7,-92.8321,0.2,0.45,GND,
V0191,b468106e-f576-46bc-ba27-8074e24721d9,26.8,20.8,26.8,-20.8,0.2,0.45,ENC_CS_LOCAL,J6.6@F.Cu
V0192,d69644fb-a9fe-423e-b245-bf800f689a50,26.85,35.65,26.85,-35.65,0.2,0.45,CS_MA735,
V0193,506625f8-9a56-4570-acda-9d2699ac2098,26.85,65.25,26.85,-65.25,0.2,0.45,+3V3,
V0194,f55147b1-7080-4f47-b739-c7483bd7f96e,26.9,75.3,26.9,-75.3,0.2,0.45,+3V3,C77.1@F.Cu
V0195,b056af82-d08c-45d0-aeae-a506c1132dfa,27.0,56.25,27.0,-56.25,0.2,0.45,GND,
V0196,255fe898-61eb-4b93-8037-07d676359fb1,27.0,76.6,27.0,-76.6,0.2,0.45,+3V3,C77.1@F.Cu
V0197,b66e5c6d-a95a-430b-8607-2da188d6d858,27.05,72.3,27.05,-72.3,0.2,0.45,+3V3,U38.1@F.Cu
V0198,841e797f-8404-43b7-9857-030394a5152a,27.1,38.55,27.1,-38.55,0.2,0.45,ENC_3V3,
V0199,335c125f-e4c9-4039-9c46-73781f204c14,27.116,40.85,27.116,-40.85,0.2,0.45,GND,
